epoch,op,field,before,after,reason
35,sharpen_mild,strength,0.3750000000000001,0.4,map50_high_map95_low
35,local_contrast,strength,0.3750000000000001,0.4,map50_high_map95_low
35,cutout_safe,prob,0.10999999999999997,0.08999999999999997,map50_high_map95_low_reduce_cutout
35,cutout_safe,strength,0.04,0.02,map50_high_map95_low_reduce_cutout
35,clahe,prob,0.10000000000000003,0.12000000000000004,low_contrast_fn_high_monitor_fp
35,clahe,strength,0.08999999999999997,0.10499999999999997,low_contrast_fn_high_monitor_fp
35,gamma,prob,0.10000000000000003,0.12000000000000004,low_contrast_fn_high_monitor_fp
35,gamma,strength,0.08999999999999997,0.10499999999999997,low_contrast_fn_high_monitor_fp
40,clahe,prob,0.12000000000000004,0.16000000000000003,recall_low_or_fn_high
40,clahe,strength,0.10499999999999997,0.13499999999999995,recall_low_or_fn_high
40,gamma,prob,0.12000000000000004,0.16000000000000003,recall_low_or_fn_high
40,gamma,strength,0.10499999999999997,0.13499999999999995,recall_low_or_fn_high
40,brightness,prob,0.0,0.03,recall_low_brightness_like
40,brightness,strength,0.0,0.02,recall_low_brightness_like
40,brightness,prob,0.03,0.0,precision_low_or_fp_high
40,brightness,strength,0.02,0.0,precision_low_or_fp_high
40,clahe,prob,0.16000000000000003,0.13000000000000003,precision_low_or_fp_high
40,clahe,strength,0.13499999999999995,0.11499999999999995,precision_low_or_fp_high
40,gamma,prob,0.16000000000000003,0.13000000000000003,precision_low_or_fp_high
40,gamma,strength,0.13499999999999995,0.11499999999999995,precision_low_or_fp_high
40,cutout_safe,prob,0.08999999999999997,0.11999999999999997,precision_low_hard_negative_like
40,cutout_safe,strength,0.02,0.04,precision_low_hard_negative_like
40,cutout_safe,prob,0.11999999999999997,0.09999999999999996,map50_high_map95_low_reduce_cutout
40,cutout_safe,strength,0.04,0.02,map50_high_map95_low_reduce_cutout
40,clahe,prob,0.13000000000000003,0.17000000000000004,low_contrast_fn_high_monitor_fp
40,clahe,strength,0.11499999999999995,0.14499999999999996,low_contrast_fn_high_monitor_fp
40,gamma,prob,0.13000000000000003,0.17000000000000004,low_contrast_fn_high_monitor_fp
40,gamma,strength,0.11499999999999995,0.14499999999999996,low_contrast_fn_high_monitor_fp
45,clahe,prob,0.17000000000000004,0.21000000000000005,recall_low_or_fn_high
45,clahe,strength,0.14499999999999996,0.17499999999999996,recall_low_or_fn_high
45,gamma,prob,0.17000000000000004,0.21000000000000005,recall_low_or_fn_high
45,gamma,strength,0.14499999999999996,0.17499999999999996,recall_low_or_fn_high
45,brightness,prob,0.0,0.03,recall_low_brightness_like
45,brightness,strength,0.0,0.02,recall_low_brightness_like
45,brightness,prob,0.03,0.0,precision_low_or_fp_high
45,brightness,strength,0.02,0.0,precision_low_or_fp_high
45,clahe,prob,0.21000000000000005,0.18000000000000005,precision_low_or_fp_high
45,clahe,strength,0.17499999999999996,0.15499999999999997,precision_low_or_fp_high
45,gamma,prob,0.21000000000000005,0.18000000000000005,precision_low_or_fp_high
45,gamma,strength,0.17499999999999996,0.15499999999999997,precision_low_or_fp_high
45,cutout_safe,prob,0.09999999999999996,0.12999999999999995,precision_low_hard_negative_like
45,cutout_safe,strength,0.02,0.04,precision_low_hard_negative_like
45,cutout_safe,prob,0.12999999999999995,0.10999999999999995,map50_high_map95_low_reduce_cutout
45,cutout_safe,strength,0.04,0.02,map50_high_map95_low_reduce_cutout
45,clahe,prob,0.18000000000000005,0.22000000000000006,low_contrast_fn_high_monitor_fp
45,clahe,strength,0.15499999999999997,0.18499999999999997,low_contrast_fn_high_monitor_fp
45,gamma,prob,0.18000000000000005,0.22000000000000006,low_contrast_fn_high_monitor_fp
45,gamma,strength,0.15499999999999997,0.18499999999999997,low_contrast_fn_high_monitor_fp
